GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator with JUnit5 and Cucumber tests,calculator,Divides,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Times,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Plus,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,MyReal,19,153,4,4,4,22,7,17,3,17
Calculator with JUnit5 and Cucumber tests,calculator,IllegalConstruction,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,MyNumber,17,181,3,11,2,29,3,23,1,18
Calculator with JUnit5 and Cucumber tests,calculator,Operation,7,133,1,17,2,29,2,15,1,7
Calculator with JUnit5 and Cucumber tests,calculator,MyRational,41,238,9,11,5,29,11,21,3,19
Calculator with JUnit5 and Cucumber tests,calculator,MyComplex,60,226,11,7,8,27,13,17,5,16
Calculator with JUnit5 and Cucumber tests,calculator,Minus,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Notation,0,21,0,0,0,4,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,Calculator,52,36,0,0,12,14,1,3,1,3
Calculator with JUnit5 and Cucumber tests,visitor,OpsCounter,12,38,0,2,6,11,3,5,3,4
Calculator with JUnit5 and Cucumber tests,visitor,Visitor,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,visitor,Evaluator,12,65,0,4,6,18,3,6,3,4
Calculator with JUnit5 and Cucumber tests,visitor,Printer,15,79,1,5,6,22,4,8,3,5
Calculator with JUnit5 and Cucumber tests,visitor,DepthCounter,14,49,1,3,6,12,4,5,3,4
Calculator with JUnit5 and Cucumber tests,visitor,NbsCounter,12,36,0,2,6,11,3,5,3,4
